"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","9856720000","8422365437.08601","11291074562.914"
"Unfished Age 0+ Biomass (mt)","5845.33","4985.8583532834","6704.8016467166"
"Unfished Recruitment (R0)","4862.52","4154.92400248143","5570.11599751857"
"2024 Spawning output","9994720000","6905914758.5641","13083525241.4359"
"2024 Fraction Unfished","1.014","0.74394244246218","1.28405755753782"
"Reference Points Based SO20\%","","",""
"Proxy Spawning output SO20\%","1971340000","1684469871.4028","2258210128.59721"
"SPR Resulting in SO20\%","0.229885","0.229885","0.229885"
"Exploitation Rate Resulting in SO20\%","0.499167","0.494011255939748","0.504322744060252"
"Yield with SPR Based On SO20\% (mt)","915.18","781.002433589576","1049.35756641042"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR30)","2689270000","2297925951.17087","3080614048.82913"
"SPR30","0.3","",""
"Exploitation Rate Corresponding to SPR30","0.407961","0.404023961545335","0.411898038454665"
"Yield with SPR30 at SO SPR (mt)","899.57","767.629928474327","1031.51007152567"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","2008560000","1714543842.71516","2302576157.28484"
"SPR MSY","0.23352","0.231686978962811","0.235353021037189"
"Exploitation Rate Corresponding to SPR MSY","0.493869","0.487405077978267","0.500332922021733"
"MSY (mt)","915.237","781.047673805668","1049.42632619433"
