"Quantity","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","680.836","1487.27","1571.26","1025.49","977.285","406.162","439.608","470.935","512.387","406.155","NA"
"1-SPR","0.334645","0.5751","0.602697","0.462285","0.440859","0.241578","0.232314","0.233275","0.266835","0.215949",NA
"Exploitation Rate","0.132601","0.283219","0.303269","0.203677","0.19683","0.0831536","0.0817443","0.0875208","0.0962104","0.072355",NA
"Age 0+ Biomass (mt)","5134.49","5251.33","5181.07","5034.89","4965.12","4884.48","5377.84","5380.84","5325.7","5613.36","5535.34"
"Spawning output","8010130000","7269060000","6867530000","7382470000","7960680000","7140100000","8175360000","9384220000","8405300000","8140470000","9994720000"
"Lower Interval","5912713741.22415","5504651422.01743","5164919086.44998","5454441668.62404","5851307960.91846","5088331302.42409","5994253279.08429","6927699139.97672","6165355160.2684","5958422496.37171","6905914758.5641"
"Upper Interval","10107546258.7758","9033468577.98257","8570140913.55002","9310498331.37596","10070052039.0815","9191868697.57591","10356466720.9157","11840740860.0233","10645244839.7316","10322517503.6283","13083525241.4359"
"Recruits","7282.88","10449.2","8658.41","4588.63","6080.25","8685.3","3442.41","3917.85","10389.9","4612.23","4865.03"
"Lower Interval","5527.27049680317","8238.6343306786","6686.19708948317","3393.75912074122","4550.76917700531","6578.31413768832","2345.37582322498","2441.09355920554","6502.46206711839","2551.24610776349","4204.37254140722"
"Upper Interval","9596.11821514383","13252.8980238168","11212.3622329378","6204.18966927193","8123.77833824308","11467.1380099991","5052.57472629932","6287.98046867795","16601.4074201034","8338.14719331343","5629.50039935757"
"Fraction Unfished","0.812657","0.737472","0.696736","0.748979","0.80764","0.72439","0.829421","0.952064","0.852748","0.82588","1.014"
"Lower Interval","0.629060705686984","0.584532286354769","0.549065649527205","0.582598833330786","0.627537341489427","0.551293624744962","0.647211380206046","0.74605022562101","0.666094553863899","0.646440397305397","0.74394244246218"
"Upper Interval","0.996253294313016","0.890411713645231","0.844406350472795","0.915359166669214","0.987742658510573","0.897486375255038","1.01163061979395","1.15807777437899","1.0394014461361","1.0053196026946","1.28405755753782"
